2010 Federal Election House of Representatives First Preferences by Vote Type by Party by State [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:22 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009],,,,,,,,,,,,,,,,,,,
StateAb,PartyAb,PartyNm,OrderOfAppearance,Contested,Nominations,Elected,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,PrePollVotes,PrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage,TotalSwing
VIC,SPA,Secular Party of Australia,14,9,9,0,4005,0.15,550,0.33,19,0.21,278,0.21,387,0.16,5239,0.16,0.16
VIC,IND,Independent,15,8,14,0,22343,0.85,1231,0.74,48,0.54,1107,0.83,1796,0.75,26525,0.83,-0.17
VIC,NAFD,Non Affiliated,16,1,1,0,431,0.02,18,0.01,0,0,26,0.02,41,0.02,516,0.02,0
QLD,ALP,Australian Labor Party,1,30,30,8,674068,33.99,43919,31.89,2105,39.03,24155,30.52,56465,31.56,800712,33.58,-9.33
QLD,LNQ,Liberal National Party of Queensland,2,30,30,21,936368,47.22,58648,42.58,1980,36.71,37845,47.81,95684,53.48,1130525,47.42,2.95
QLD,GRN,The Greens,3,30,30,0,213443,10.76,21636,15.71,751,13.93,10736,13.56,13905,7.77,260471,10.92,5.29
QLD,FFP,Family First,4,30,30,0,77271,3.9,6801,4.94,281,5.21,2894,3.66,5547,3.1,92794,3.89,1.62
QLD,ON,One Nation,5,3,3,0,3198,0.16,248,0.18,6,0.11,147,0.19,322,0.18,3921,0.16,-0.2
QLD,CEC,Citizens Electoral Council,6,2,2,0,1192,0.06,123,0.09,7,0.13,47,0.06,93,0.05,1462,0.06,-0.09
QLD,LDP,Liberal Democrats (LDP),7,4,4,0,3205,0.16,629,0.46,16,0.3,355,0.45,457,0.26,4662,0.2,0.05
QLD,SAL,Socialist Alliance,8,1,1,0,552,0.03,94,0.07,2,0.04,39,0.05,30,0.02,717,0.03,-0.02
QLD,DLP,DLP - Democratic Labor Party,9,6,6,0,3544,0.18,518,0.38,18,0.33,234,0.3,276,0.15,4590,0.19,0.19
QLD,SPA,Secular Party of Australia,10,1,1,0,340,0.02,41,0.03,0,0,18,0.02,15,0.01,414,0.02,0.02
QLD,IND,Independent,11,14,20,1,69348,3.5,5010,3.64,227,4.21,2649,3.35,6076,3.4,83310,3.49,0.5
QLD,NAFD,Non Affiliated,12,1,1,0,471,0.02,61,0.04,0,0,30,0.04,39,0.02,601,0.03,0.03
WA,LP,Liberal,1,15,15,11,467407,46.94,40771,44.36,1412,39.5,25870,49.75,30685,50.47,566145,47.02,0.71
WA,ALP,Australian Labor Party,2,15,15,3,314760,31.61,25391,27.63,1174,32.84,14768,28.4,19288,31.73,375381,31.18,-5.62
WA,GRN,The Greens,3,15,15,0,127157,12.77,16641,18.11,616,17.23,7585,14.59,6118,10.06,158117,13.13,4.2
WA,CDP,CDP Christian Party,4,15,15,0,23398,2.35,2211,2.41,83,2.32,902,1.73,1239,2.04,27833,2.31,0.2
WA,FFP,Family First,5,14,14,0,16229,1.63,2306,2.51,114,3.19,959,1.84,1090,1.79,20698,1.72,0.51
WA,ON,One Nation,6,1,1,0,1137,0.11,187,0.2,10,0.28,78,0.15,59,0.1,1471,0.12,-1.03
WA,NP,The Nationals,7,4,4,1,36778,3.69,3150,3.43,115,3.22,1283,2.47,1775,2.92,43101,3.58,2.44
WA,CEC,Citizens Electoral Council,8,3,3,0,974,0.1,164,0.18,2,0.06,55,0.11,82,0.13,1277,0.11,-0.15
WA,SAL,Socialist Alliance,9,2,2,0,1063,0.11,111,0.12,8,0.22,47,0.09,51,0.08,1280,0.11,0.01
WA,SEP,Socialist Equality Party,10,1,1,0,301,0.03,57,0.06,4,0.11,18,0.03,18,0.03,398,0.03,0.02
WA,ASXP,Australian Sex Party,11,1,1,0,1608,0.16,275,0.3,18,0.5,78,0.15,81,0.13,2060,0.17,0.17
WA,DLP,DLP - Democratic Labor Party,12,1,1,0,475,0.05,74,0.08,2,0.06,43,0.08,28,0.05,622,0.05,0.05
WA,TCS,The Climate Sceptics,13,1,1,0,366,0.04,95,0.1,2,0.06,44,0.08,32,0.05,539,0.04,0.04
WA,IND,Independent,14,3,4,0,4071,0.41,473,0.51,15,0.42,270,0.52,250,0.41,5079,0.42,-1.27
SA,ALP,Australian Labor Party,1,11,11,6,337679,41.31,23033,37.83,1178,43.89,10030,34.79,27359,39.05,399279,40.74,-2.44
SA,LP,Liberal,2,11,11,5,326991,40,21255,34.91,816,30.4,13079,45.37,31862,45.47,394003,40.21,-1.55
SA,GRN,The Greens,3,11,11,0,95981,11.74,10978,18.03,448,16.69,3778,13.11,6179,8.82,117364,11.98,5.03
SA,FFP,Family First,4,11,11,0,40526,4.96,3685,6.05,170,6.33,1172,4.07,3085,4.4,48638,4.96,0.91
SA,DEM,Democrats,5,8,8,0,5471,0.67,623,1.02,18,0.67,290,1.01,618,0.88,7020,0.72,-0.79
SA,ON,One Nation,6,2,2,0,835,0.1,133,0.22,6,0.22,35,0.12,96,0.14,1105,0.11,-0.06
SA,LDP,Liberal Democrats (LDP),7,4,4,0,2047,0.25,432,0.71,12,0.45,148,0.51,194,0.28,2833,0.29,0.12
SA,SPA,Secular Party of Australia,8,1,1,0,264,0.03,20,0.03,1,0.04,9,0.03,16,0.02,310,0.03,0.03
SA,SAL,Socialist Alliance,9,1,1,0,605,0.07,100,0.16,4,0.15,33,0.11,44,0.06,786,0.08,0.08
SA,TCS,The Climate Sceptics,10,5,5,0,2895,0.35,281,0.46,18,0.67,98,0.34,233,0.33,3525,0.36,0.36
SA,IND,Independent,11,2,3,0,4184,0.51,351,0.58,13,0.48,154,0.53,384,0.55,5086,0.52,-0.18
TAS,ALP,Australian Labor Party,1,5,5,4,123775,44.41,6311,41.3,240,42.7,3485,35.09,9985,44.04,143796,43.95,1.17
TAS,LP,Liberal,2,5,5,0,92807,33.3,4576,29.95,122,21.71,3847,38.74,8556,37.74,109908,33.6,-4.62
TAS,GRN,The Greens,3,5,5,0,46273,16.6,3443,22.53,144,25.62,2105,21.2,3077,13.57,55042,16.82,3.32
TAS,CEC,Citizens Electoral Council,4,1,1,0,706,0.25,35,0.23,1,0.18,22,0.22,74,0.33,838,0.26,-0.31
TAS,SAL,Socialist Alliance,5,1,1,0,745,0.27,50,0.33,5,0.89,25,0.25,31,0.14,856,0.26,0
TAS,SPA,Secular Party of Australia,6,1,1,0,848,0.3,138,0.9,3,0.53,34,0.34,62,0.27,1085,0.33,0.33
TAS,IND,Independent,7,2,2,1,13553,4.86,728,4.76,47,8.36,413,4.16,886,3.91,15627,4.78,2.56
ACT,ALP,Australian Labor Party,1,2,2,2,90612,45.53,1263,39.83,301,42.45,5089,40.73,3435,41.29,100700,45.02,-6.08
ACT,LP,Liberal,2,2,2,0,68911,34.63,971,30.62,251,35.4,4336,34.7,3411,41,77880,34.81,1.58
ACT,GRN,The Greens,3,2,2,0,37577,18.88,899,28.35,146,20.59,2944,23.56,1376,16.54,42942,19.2,6.04
ACT,SPA,Secular Party of Australia,4,1,1,0,1904,0.96,38,1.2,11,1.55,125,1,97,1.17,2175,0.97,0.97
NT,ALP,Australian Labor Party,1,2,2,1,32397,38.42,640,39.53,88,33.46,1535,34.35,929,28.9,35589,37.91,-9.74
NT,CLP,Country Liberals,2,2,2,1,34073,40.41,549,33.91,105,39.92,1915,42.85,1693,52.66,38335,40.83,-0.2
NT,GRN,The Greens,3,2,2,0,10736,12.73,256,15.81,45,17.11,748,16.74,390,12.13,12175,12.97,4.92
NT,CEC,Citizens Electoral Council,4,2,2,0,2138,2.54,52,3.21,12,4.56,77,1.72,52,1.62,2331,2.48,2.23
NT,ON,One Nation,5,1,1,0,1319,1.56,44,2.72,5,1.9,75,1.68,62,1.93,1505,1.6,1.6
NT,IND,Independent,6,1,2,0,3654,4.33,78,4.82,8,3.04,119,2.66,89,2.77,3948,4.21,1.55

